Batch,RELEASE,Humidite_finale,Temps_de_granulation,Temps_de_mouillage,Temps_de_melange,Temps_de_sechage,Temperature_enceinte_GRANULATION,Temperature_enceinte_MELANGE,Temperature_enceinte_MOUILLAGE,Temperature_entree_REFROIDISSEMENT,Temperature_entree_SECHAGE,Temperature_sortie_REFROIDISSEMENT,Temperature_sortie_SECHAGE,Debit_air_REFROIDISSEMENT,Debit_air_SECHAGE,Puissance_GRANULATION,Puissance_MELANGE,Puissance_MOUILLAGE,Epaisseur,Pelliculage,Puissance_granulation_max,Puissance_melange_max,Puissance_mouillage_max,duree_pelliculage
6A023,38.0,1.63,0.00109567901234568,0.000326967592592593,0.00142746913580247,0.044302662037037005,20.586666666666698,12.4733333333333,22.39,30.1725,57.65,39.1025,29.595,4700.0775,4535.65,4.15666666666667,5.05,2.5975,6.082999999999999,7715.0,5.706666667,6.78,5.0925,7740.000000000001
6A024,41.6666666666667,1.78,0.00119708994708995,0.000340277777777778,0.00142746913580247,0.0611496913580247,19.4871428571429,11.836666666666698,20.31,30.766666666666698,57.883333333333304,38.95,27.2633333333333,4567.693333333329,4357.266666666671,4.15857142857143,5.03,2.622,6.08766666666667,9178.0,5.348571429,6.75,4.758,9180.0
6A025,42.6666666666667,1.68,0.0008969907407407411,0.00037422839506172796,0.0014236111111111099,0.0618479938271605,20.6183333333333,12.373333333333301,21.11,30.37,58.436666666666696,39.14,27.6566666666667,4886.123333333329,4116.18333333333,4.32166666666667,5.01666666666667,2.2666666666666697,6.16433333333333,7125.0,6.498333333,7.273333332999999,5.236666667,7140.0
6A026,45.6666666666667,1.94,0.0012384259259259301,0.000347222222222222,0.0014236111111111099,0.0594984567901235,19.755,11.976666666666699,21.0766666666667,30.43,57.9466666666667,39.17,27.6666666666667,4264.92,4426.73666666667,4.23166666666667,4.98333333333333,2.1933333333333302,6.12,4626.0,5.598333332999999,6.98,5.196666667,4620.0
6A027,45.5,1.64,0.0010281635802469099,0.00034336419753086404,0.0014236111111111099,0.0612037037037037,23.7633333333333,14.503333333333302,24.42,30.6533333333333,58.2866666666667,39.0633333333333,27.4733333333333,4811.293333333329,4162.8266666666705,4.48,4.97333333333333,2.29,6.1465,7862.0,6.361666667000001,6.973333332999999,5.233333333,
6A028,39.8333333333333,1.66,0.0012403549382716,0.000378086419753086,0.0014236111111111099,0.0575887345679012,21.8283333333333,13.35,23.5,30.0766666666667,58.5566666666667,39.0566666666667,27.853333333333303,4941.23,4102.09333333333,4.27,4.87666666666667,2.06666666666667,6.129428571428571,6817.0,5.788333333,6.833333333,5.083333333,
6A029,39.1666666666667,1.76,0.0012094907407407401,0.000329861111111111,0.00142746913580247,0.0541550925925926,21.4233333333333,13.676666666666698,22.975,30.106666666666698,58.04,38.84,28.26,4881.586666666671,4320.36666666667,4.15666666666667,4.78,2.64,6.13566666666667,7877.0,5.4,6.586666667,5.015,
6A030,40.8333333333333,1.57,0.0012152777777777802,0.000746527777777778,0.00141975308641975,0.0589506172839506,22.765,14.36,26.4425,30.3133333333333,58.2133333333333,38.9233333333333,27.266666666666698,5205.913333333329,4875.31666666667,4.31333333333333,5.03,2.615,6.14966666666667,7905.0,5.57,7.146666667000001,5.1775,
6A031,39.1666666666667,1.78,0.00126322751322751,0.000366512345679012,0.0014158950617284,0.0570486111111111,22.227142857142898,13.1166666666667,22.9366666666667,30.54,58.2633333333333,39.103333333333296,27.91,4851.296666666671,4316.193333333329,4.18571428571429,4.87333333333333,2.13333333333333,6.1103333333333305,10887.0,5.4828571429999995,6.64,5.09,
6A032,38.3333333333333,1.83,0.0013194444444444401,0.0003125,0.00142746913580247,0.0639197530864198,21.252857142857103,12.796666666666699,23.69,30.38,56.47,39.0866666666667,28.0266666666667,4538.02666666667,5049.413333333329,4.39,5.15333333333333,2.4166666666666696,6.108,7269.0,5.69,6.936666667000001,5.456666667,7320.000000000001
6A033,37.1666666666667,2.01,0.0014158950617284,0.000341435185185185,0.00141975308641975,0.0421585648148148,23.733333333333302,14.1066666666667,25.92,34.2625,58.275,39.1425,29.285,4344.385,4492.0475,3.985,5.14,2.04,6.09333333333333,7996.0,5.726666667000001,7.073333333,4.4875,7980.000000000001
